Feature,Coefficient,OddsRatio,Layer
(Intercept),0.2876820724517809,1.3333333333333333,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6+CXCR3+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6+CXCR3-_CD161+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6+CXCR3-_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6-CXCR3+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6-CXCR3-_CCR4+_GP,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6-CXCR3-_CCR4+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CCR6-CXCR3-_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CD45RO+CD27+_CXCR5+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CD45RO+CD27+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CD45RO+CD27-_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CD45RO-CD27+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_CD45RO-CD27-_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_HLA-DR+CD38+_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_IFNy_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_IL-17a_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_IL-21_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_IL-22_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_IL-2_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_PD-1_P,0,1,DosR
DosR_gdTCR-_CD4_Non-Proliferating_TNFa_P,0,1,DosR
DosR_gdTCR-_CD4_P,0,1,DosR
DosR_gdTCR-_CD4_Proliferating_CCR6+CXCR3+_P,0,1,DosR
DosR_gdTCR-_CD4_Proliferating_CCR6+CXCR3-_CD161+_P,0,1,DosR
