"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","n_donors_pos_detect","n_donors_neg_detect","one_donor_flag","set","timepoint"
"HFM1",7.33391299686049e-293,-3.17145911721202,0.057,0.263,4.59909684033121e-288,6,4,FALSE,"CD4_TCM","week44"
"ZFPM2",1.57577050368734e-286,-5.58321696053444,0.031,0.165,9.88165682862333e-282,6,4,FALSE,"CD4_TCM","week44"
"LINC01091",4.53579672682159e-241,-6.23692096356611,0.011,0.17,2.84439812738982e-236,5,4,FALSE,"CD4_TCM","week44"
"ANK3",1.93789246502704e-236,-0.825082240110732,0.881,0.953,1.21525236481846e-231,6,4,FALSE,"CD4_TCM","week44"
"EEF1A1",3.85995274032716e-230,-0.691081968972983,0.84,0.895,2.42057636345916e-225,6,4,FALSE,"CD4_TCM","week44"
"STAT1",7.95811200467361e-227,1.0336173777491,0.853,0.673,4.99053203813082e-222,6,4,FALSE,"CD4_TCM","week44"
"PCLO",6.52415156799361e-218,-5.91764648584291,0.008,0.129,4.09129544828879e-213,5,4,FALSE,"CD4_TCM","week44"
"RPS6",1.8139972720155e-216,-0.748595934112007,0.766,0.843,1.13755768928092e-211,6,4,FALSE,"CD4_TCM","week44"
"IFI44L",2.59260391783581e-216,1.9671427226334,0.445,0.163,1.62582191687484e-211,6,4,FALSE,"CD4_TCM","week44"
"OXR1",2.24358751025786e-215,6.90072746225355,0.553,0.389,1.4069537276827e-210,6,4,FALSE,"CD4_TCM","week44"
"SMOC2",1.25945763767593e-212,-6.83048397650917,0.003,0.113,7.89805884586577e-208,5,4,FALSE,"CD4_TCM","week44"
"JDP2",1.89623354096869e-200,7.02231388941493,0.137,0.002,1.18912805354146e-195,5,3,FALSE,"CD4_TCM","week44"
"NLGN1",8.02129025232581e-186,-5.30174257441017,0.013,0.137,5.03015111723352e-181,5,4,FALSE,"CD4_TCM","week44"
"PLCH1",2.34895257420774e-182,-5.2922720549153,0.009,0.132,1.47302815928568e-177,5,4,FALSE,"CD4_TCM","week44"
"HRH1",3.28407953201397e-181,-5.98252150843053,0.007,0.123,2.05944627452596e-176,5,4,FALSE,"CD4_TCM","week44"
"H4C8",2.8676853573305e-180,4.08501823057007,0.176,0.021,1.79832548758196e-175,6,4,FALSE,"CD4_TCM","week44"
"RPL4",9.75703427946716e-175,-0.815168174895669,0.506,0.618,6.11863619665386e-170,6,4,FALSE,"CD4_TCM","week44"
"TPT1",2.27466744488257e-173,-0.67462393334988,0.726,0.798,1.42644395468586e-168,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000232855",3.42555141834109e-173,2.76666077483572,0.309,0.118,2.1481632944417e-168,6,4,FALSE,"CD4_TCM","week44"
"B4GALNT3",2.65498521916605e-170,-4.80101138420184,0.006,0.104,1.66494123093903e-165,5,4,FALSE,"CD4_TCM","week44"
"RPL13A",1.06939203326336e-166,-0.73367892747781,0.609,0.7,6.70615744059454e-162,6,4,FALSE,"CD4_TCM","week44"
"LRRC52-AS1",3.90318246709579e-159,10.3245553523114,0.107,0.001,2.44768572511577e-154,5,3,FALSE,"CD4_TCM","week44"
"XAF1",6.41112948718471e-154,1.28213802735001,0.539,0.277,4.02041930141353e-149,6,4,FALSE,"CD4_TCM","week44"
"STEAP1B",1.88456286996918e-146,-0.652714696005914,0.775,0.821,1.18180937575768e-141,6,4,FALSE,"CD4_TCM","week44"
"EPN2",3.28332679810632e-145,-2.78434092336799,0.053,0.185,2.05897423509247e-140,5,4,FALSE,"CD4_TCM","week44"
"LINC02934",8.07776603108508e-143,6.34648356780879,0.116,0.017,5.06556707809345e-138,6,4,FALSE,"CD4_TCM","week44"
"EMILIN2",6.53334770889762e-139,-3.98311955961001,0.015,0.119,4.0970623482497e-134,5,4,FALSE,"CD4_TCM","week44"
"COLGALT2",3.23432053534646e-129,5.18944367973698,0.103,0.004,2.02824240771576e-124,5,4,FALSE,"CD4_TCM","week44"
"RPS3",4.48975918105969e-125,-0.800807182981927,0.497,0.602,2.81552798244253e-120,6,4,FALSE,"CD4_TCM","week44"
"INKA2",1.33282499614873e-119,-2.97614720861553,0.033,0.136,8.3581455508487e-115,5,4,FALSE,"CD4_TCM","week44"
"CSMD1",2.17596860601823e-118,2.93804350410735,0.159,0.032,1.36454991283403e-113,6,4,FALSE,"CD4_TCM","week44"
"DDX60",1.75401548743483e-117,1.197036004379,0.488,0.264,1.09994311217038e-112,6,4,FALSE,"CD4_TCM","week44"
"RPS8",5.74006140196184e-115,-0.71665867175135,0.55,0.644,3.59959250517027e-110,6,4,FALSE,"CD4_TCM","week44"
"APAF1",1.99640983102726e-108,3.46080028582696,0.259,0.139,1.25194860503719e-103,6,4,FALSE,"CD4_TCM","week44"
"RPS27A",2.8640307142243e-108,-1.0279158705073,0.271,0.402,1.79603366089006e-103,6,4,FALSE,"CD4_TCM","week44"
"RPL13",1.32430526228298e-107,-0.777071297983704,0.433,0.537,8.30471829977658e-103,6,4,FALSE,"CD4_TCM","week44"
"NTSR1",1.62763853026057e-107,-2.80151749318407,0.026,0.123,1.0206921223264e-102,6,4,FALSE,"CD4_TCM","week44"
"SLC30A10",4.94552051240331e-106,4.06698027642701,0.123,0.021,3.10133591332812e-101,6,4,FALSE,"CD4_TCM","week44"
"GBP1",1.27324519895376e-104,1.20296385904446,0.392,0.185,7.98452064263902e-100,6,4,FALSE,"CD4_TCM","week44"
"EEF2",2.89834000202919e-104,-0.450742496352583,0.722,0.763,1.81754901527251e-99,6,4,FALSE,"CD4_TCM","week44"
"CNTNAP5",2.46638626850694e-102,4.06862922424079,0.136,0.036,1.5466708289807e-97,6,4,FALSE,"CD4_TCM","week44"
"RPL11",7.73253176614087e-102,-0.626678311705948,0.613,0.677,4.84907067054694e-97,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000237550",1.38814076460641e-101,-1.07571771721308,0.246,0.369,8.70503073484682e-97,5,4,FALSE,"CD4_TCM","week44"
"NBPF26",9.54831947215603e-100,-2.15412117873919,0.052,0.151,5.98775114098905e-95,5,4,FALSE,"CD4_TCM","week44"
"PDE1A",2.06212507898114e-98,-3.59050606385114,0.018,0.103,1.29315863702908e-93,6,4,FALSE,"CD4_TCM","week44"
"EPSTI1",2.44918464713772e-98,0.711867716522931,0.767,0.604,1.53588369222007e-93,6,4,FALSE,"CD4_TCM","week44"
"SAMD9L",7.04957604305682e-96,1.03834446030647,0.457,0.245,4.42078913660093e-91,6,4,FALSE,"CD4_TCM","week44"
"PARP9",3.48656216326243e-95,0.816129088124806,0.629,0.428,2.18642313258187e-90,6,4,FALSE,"CD4_TCM","week44"
"RPL19",5.86375006429375e-93,-0.684252720482769,0.5,0.581,3.67715766531861e-88,6,4,FALSE,"CD4_TCM","week44"
"SDK1",1.56012901364951e-92,0.961200195307403,0.445,0.258,9.78356904459606e-88,6,4,FALSE,"CD4_TCM","week44"
"RPL3",9.52155286434786e-92,-0.571757880215746,0.57,0.64,5.97096580123255e-87,6,4,FALSE,"CD4_TCM","week44"
"RNU4-2",5.60392957627163e-89,0.907654222576372,0.817,0.626,3.51422423727994e-84,6,4,FALSE,"CD4_TCM","week44"
"RPL14",6.88932744526962e-89,-0.708137590416541,0.389,0.476,4.32029724092858e-84,6,4,FALSE,"CD4_TCM","week44"
"B4GALNT1",7.61428785315662e-88,2.84229090174868,0.134,0.031,4.77491991271451e-83,6,4,FALSE,"CD4_TCM","week44"
"ATP6V1A",3.53795737294316e-86,1.54786959824775,0.312,0.16,2.21865306857266e-81,6,4,FALSE,"CD4_TCM","week44"
"RPL32",6.1877517939944e-86,-0.703706785327958,0.392,0.48,3.88033915001389e-81,6,4,FALSE,"CD4_TCM","week44"
"IFI44",1.88997484652533e-83,1.39122284347272,0.29,0.125,1.18520322625604e-78,6,4,FALSE,"CD4_TCM","week44"
"RPL5",1.13348024842558e-81,-0.62770840121129,0.511,0.592,7.1080546378768e-77,6,4,FALSE,"CD4_TCM","week44"
"LTBP3",2.79603949829194e-77,-0.731610761843777,0.339,0.423,1.75339636937888e-72,6,4,FALSE,"CD4_TCM","week44"
"RPLP2",4.73350458823296e-76,-0.673055414741003,0.455,0.513,2.96838072728089e-71,6,4,FALSE,"CD4_TCM","week44"
"HERC6",4.83906918993351e-76,1.27303711233653,0.309,0.145,3.0345802890073e-71,6,4,FALSE,"CD4_TCM","week44"
"RNU4-1",5.71274858738241e-76,1.51144219427299,0.346,0.183,3.58246463914751e-71,6,4,FALSE,"CD4_TCM","week44"
"RPL34",3.29896596011092e-73,-0.571294439516243,0.538,0.599,2.06878155358556e-68,6,4,FALSE,"CD4_TCM","week44"
"NUTM2B-AS1",4.78856074253769e-72,-0.533887995412202,0.549,0.603,3.00290644164538e-67,6,4,FALSE,"CD4_TCM","week44"
"HDGFL3",7.73035199183314e-72,1.08531653733081,0.254,0.109,4.84770373407856e-67,6,4,FALSE,"CD4_TCM","week44"
"RPL21",1.77958817584093e-71,-0.688120062462332,0.399,0.487,1.11597974506984e-66,6,4,FALSE,"CD4_TCM","week44"
"CENPK",4.48542782001588e-71,0.694181272368474,0.386,0.212,2.81281178593196e-66,6,4,FALSE,"CD4_TCM","week44"
"TALAM1",1.29758929373029e-69,0.313149673877499,0.959,0.921,8.13718246098263e-65,6,4,FALSE,"CD4_TCM","week44"
"RPL27",2.15149818408772e-68,-0.755693160563731,0.3,0.383,1.34920451124141e-63,6,4,FALSE,"CD4_TCM","week44"
"PARP14",2.82398792148063e-68,0.633441173484793,0.725,0.567,1.7709228255605e-63,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000225689",3.80420840989964e-68,2.7577616738119,0.108,0.026,2.38561909384806e-63,6,4,FALSE,"CD4_TCM","week44"
"SMCHD1",4.65001459039943e-68,0.337763258905873,0.971,0.942,2.91602414963948e-63,6,4,FALSE,"CD4_TCM","week44"
"MX1",2.37773422940452e-67,0.971340217300172,0.431,0.252,1.49107713525958e-62,6,4,FALSE,"CD4_TCM","week44"
"RPL18",2.21542002336065e-66,-0.808021630324161,0.29,0.369,1.38928989664947e-61,6,4,FALSE,"CD4_TCM","week44"
"MT-ATP6",7.38931308493727e-66,-0.691291389034642,0.296,0.374,4.63383823556416e-61,6,4,FALSE,"CD4_TCM","week44"
"RPS4X",7.95718044215733e-65,-0.584122746686367,0.409,0.483,4.98994785527686e-60,6,4,FALSE,"CD4_TCM","week44"
"MT-ND4",1.00822053237086e-63,-0.459290636982699,0.624,0.642,6.32255095849767e-59,6,4,FALSE,"CD4_TCM","week44"
"RACK1",2.59766507776912e-63,-0.52271571438755,0.494,0.539,1.62899577026902e-58,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000290199",3.74192275166906e-63,-1.48992203147324,0.067,0.154,2.34655975757167e-58,6,4,FALSE,"CD4_TCM","week44"
"IFIT3",5.99204716726026e-62,1.98513206272496,0.112,0.026,3.75761277858891e-57,6,4,FALSE,"CD4_TCM","week44"
"EEF1G",6.85044398932595e-62,-0.549239519176827,0.449,0.495,4.29591342570631e-57,6,4,FALSE,"CD4_TCM","week44"
"RPL6",2.77004924030895e-60,-0.544776857930103,0.426,0.475,1.73709787859775e-55,6,4,FALSE,"CD4_TCM","week44"
"LEPROTL1",1.07895961662508e-58,-0.319259030407576,0.829,0.83,6.76615575585586e-54,6,4,FALSE,"CD4_TCM","week44"
"RPL37A",1.10210466769728e-57,-0.600076136898971,0.397,0.46,6.91129837112962e-53,6,4,FALSE,"CD4_TCM","week44"
"RPS27AP16",6.23669933100871e-56,-1.06554234287549,0.154,0.241,3.91103415047556e-51,5,4,FALSE,"CD4_TCM","week44"
"RPS11",6.58024790321039e-56,-0.744076330240409,0.284,0.355,4.12647346010324e-51,6,4,FALSE,"CD4_TCM","week44"
"IL12RB2",1.51093049481518e-55,-1.04629678091624,0.131,0.211,9.47504513298598e-51,6,4,FALSE,"CD4_TCM","week44"
"SLFN12L",1.7242332539936e-55,0.814407028771339,0.482,0.305,1.08126667357939e-50,6,4,FALSE,"CD4_TCM","week44"
"PGAP1",5.06134334748602e-55,1.17437769895079,0.233,0.105,3.17396841320848e-50,6,4,FALSE,"CD4_TCM","week44"
"PTMA",6.73255901276505e-55,-0.351793516412896,0.814,0.831,4.22198775690496e-50,6,4,FALSE,"CD4_TCM","week44"
"RPL35",7.09448463461659e-55,-0.817645094501831,0.225,0.3,4.44895131436806e-50,5,4,FALSE,"CD4_TCM","week44"
"RPL15",1.25265935529451e-54,-0.634057789068301,0.299,0.362,7.85542681705187e-50,6,4,FALSE,"CD4_TCM","week44"
"RPS18",2.22357948502177e-54,-0.809761474983933,0.223,0.307,1.39440669505715e-49,6,4,FALSE,"CD4_TCM","week44"
"RPS23",2.73037117406842e-54,-0.742367188934513,0.263,0.341,1.71221576325831e-49,6,4,FALSE,"CD4_TCM","week44"
"OAS1",4.39749520531201e-54,1.59570889492098,0.131,0.041,2.75766924325116e-49,6,4,FALSE,"CD4_TCM","week44"
"LINC00623",5.13900724965127e-54,-0.619518942754978,0.362,0.438,3.22267144625631e-49,6,4,FALSE,"CD4_TCM","week44"
"LINC02968",3.89090661528484e-53,2.12320485808965,0.102,0.026,2.43998753844512e-48,6,4,FALSE,"CD4_TCM","week44"
"STK17A",4.51749571307861e-53,-0.318039665219173,0.89,0.898,2.83292156167159e-48,6,4,FALSE,"CD4_TCM","week44"
"RPL23",5.22479978200825e-53,-0.569749136682194,0.415,0.456,3.27647194329737e-48,6,4,FALSE,"CD4_TCM","week44"
"GLRX",5.29076378885114e-53,-0.784139429549624,0.252,0.329,3.31783797198855e-48,6,4,FALSE,"CD4_TCM","week44"
"NACA",7.13705580075523e-53,-0.556755287641111,0.378,0.438,4.47564769265361e-48,6,4,FALSE,"CD4_TCM","week44"
"RPS2",4.11021367216789e-52,-0.654969392636516,0.301,0.365,2.57751499381648e-47,6,4,FALSE,"CD4_TCM","week44"
"RPL7A",5.25935248811035e-51,-0.710231650267936,0.262,0.331,3.298139945294e-46,6,4,FALSE,"CD4_TCM","week44"
"RPS29",1.03978348225085e-50,-0.582178521103042,0.407,0.464,6.52048221719505e-46,6,4,FALSE,"CD4_TCM","week44"
"HLA-H",1.2704341614188e-50,1.26285887103254,0.238,0.119,7.96689262625729e-46,6,4,FALSE,"CD4_TCM","week44"
"ZFP36L1",6.25506045973228e-49,-0.463241381904274,0.462,0.501,3.92254841429811e-44,6,4,FALSE,"CD4_TCM","week44"
"RPL9",1.56909119426531e-48,-0.63085065755284,0.279,0.346,9.83977087923775e-44,6,4,FALSE,"CD4_TCM","week44"
"RPS5",4.10579400762522e-48,-0.67223929493309,0.249,0.308,2.57474342218177e-43,6,4,FALSE,"CD4_TCM","week44"
"MT-CO1",8.1600306609939e-48,-0.305108943097295,0.707,0.696,5.11715522750927e-43,6,4,FALSE,"CD4_TCM","week44"
"SAMD3",1.80225409587713e-47,0.753133009480168,0.407,0.258,1.13019354352455e-42,6,4,FALSE,"CD4_TCM","week44"
"ILF3",2.27487833926534e-47,-0.326701856764102,0.687,0.697,1.42657620655329e-42,6,4,FALSE,"CD4_TCM","week44"
"NCK1-DT",5.86469735084608e-47,-1.37026647964492,0.089,0.156,3.67775170871558e-42,6,4,FALSE,"CD4_TCM","week44"
"RPL35A",6.26390400671988e-47,-0.559980567342235,0.378,0.431,3.92809420261404e-42,6,4,FALSE,"CD4_TCM","week44"
"RPS19",9.82630860854441e-47,-0.571809028805272,0.359,0.429,6.1620781284182e-42,6,4,FALSE,"CD4_TCM","week44"
"FMN1",2.33186537235996e-46,-1.67248322663332,0.049,0.113,1.46231277500693e-41,6,4,FALSE,"CD4_TCM","week44"
"ENOSF1",5.77690641891315e-46,0.811447667243043,0.266,0.14,3.62269801530044e-41,6,4,FALSE,"CD4_TCM","week44"
"HSP90AB1",7.46627122374037e-46,-0.455960748212843,0.475,0.512,4.68209868440759e-41,6,4,FALSE,"CD4_TCM","week44"
"RPS3A",1.20708803931974e-45,-0.603503676224093,0.276,0.333,7.56964909457407e-41,6,4,FALSE,"CD4_TCM","week44"
"GBP5",1.73107081521915e-45,1.11642205559958,0.299,0.166,1.08555450822393e-40,6,4,FALSE,"CD4_TCM","week44"
"ZNF423",2.30224568599721e-45,1.52823784802084,0.123,0.047,1.44373826968885e-40,6,4,FALSE,"CD4_TCM","week44"
"RPL8",9.37636365897044e-45,-0.629950289282311,0.281,0.333,5.87991765054036e-40,6,4,FALSE,"CD4_TCM","week44"
"WDFY1",1.02451041600016e-44,0.929938313578589,0.326,0.193,6.42470481873699e-40,6,4,FALSE,"CD4_TCM","week44"
"IRF1",7.19133387393549e-44,0.505570618168854,0.625,0.471,4.50968547234494e-39,6,4,FALSE,"CD4_TCM","week44"
"RSAD2",1.7323181129745e-43,1.05060513638585,0.205,0.098,1.08633668864631e-38,6,4,FALSE,"CD4_TCM","week44"
"ARHGEF7",2.91689816475451e-43,-0.469211282065164,0.739,0.726,1.82918683911755e-38,6,4,FALSE,"CD4_TCM","week44"
"SLC9A9",1.95817830321925e-42,0.617164211678942,0.468,0.314,1.22797361394879e-37,6,4,FALSE,"CD4_TCM","week44"
"SARAF",2.48866170854052e-42,-0.24047506045707,0.927,0.923,1.56063975742576e-37,6,4,FALSE,"CD4_TCM","week44"
"ZNF805",4.38420001531324e-42,-1.19773061595892,0.114,0.132,2.74933182960293e-37,6,4,FALSE,"CD4_TCM","week44"
"MT-RNR2",6.49610121703695e-42,-0.196932069403812,0.99,0.998,4.07370507320387e-37,6,4,FALSE,"CD4_TCM","week44"
"DDX60L",8.38465176286016e-42,0.696721055973009,0.471,0.313,5.25801512048961e-37,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000235979",1.0759675519938e-41,-0.565863887184793,0.307,0.344,6.74739251855309e-37,6,4,FALSE,"CD4_TCM","week44"
"TOX",3.5339510025574e-41,-0.426944651134338,0.632,0.689,2.21614067370375e-36,6,4,FALSE,"CD4_TCM","week44"
"ANKUB1",6.21284602297071e-41,-1.44207438826196,0.066,0.131,3.89607574100493e-36,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000283907",8.28175316704538e-41,0.333221136140074,0.218,0.116,5.19348741105416e-36,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000270066",1.13674459092304e-40,1.16920716314073,0.22,0.115,7.1285253296784e-36,6,4,FALSE,"CD4_TCM","week44"
"EIF4G2",3.63444384594151e-40,-0.28581722985573,0.676,0.678,2.27915973578992e-35,6,4,FALSE,"CD4_TCM","week44"
"CHST11",3.67663723493343e-40,-0.299637494180838,0.737,0.762,2.30561921002675e-35,6,4,FALSE,"CD4_TCM","week44"
"MT-ND1",5.66724471266925e-40,-0.59846125549918,0.253,0.295,3.55392915931489e-35,6,4,FALSE,"CD4_TCM","week44"
"LDHB",6.23169036463781e-40,-0.40373011870214,0.508,0.538,3.90789302766437e-35,6,4,FALSE,"CD4_TCM","week44"
"OAS3",1.30880535817758e-39,0.982326721932303,0.205,0.098,8.20751840113158e-35,6,4,FALSE,"CD4_TCM","week44"
"RPLP1",1.9611087837802e-39,-0.507763787704865,0.378,0.415,1.22981131830856e-34,6,4,FALSE,"CD4_TCM","week44"
"CASC15",2.75182676319401e-39,-0.626777546678805,0.384,0.468,1.72567056319897e-34,6,4,FALSE,"CD4_TCM","week44"
"RPL12",3.59434264120371e-39,-0.620154886669945,0.289,0.343,2.25401227029885e-34,6,4,FALSE,"CD4_TCM","week44"
"DMXL2",4.91679442101366e-39,-1.58108273921264,0.065,0.128,3.08332178141766e-34,6,4,FALSE,"CD4_TCM","week44"
"TIAM1",5.22286640765781e-39,-0.53850723237068,0.465,0.526,3.27525952424221e-34,6,4,FALSE,"CD4_TCM","week44"
"MT-CYB",5.91178542118738e-39,-0.470241133865723,0.389,0.427,3.7072806376266e-34,6,4,FALSE,"CD4_TCM","week44"
"UBA52",8.71377689148005e-39,-0.805727659937213,0.156,0.217,5.46440948864714e-34,6,4,FALSE,"CD4_TCM","week44"
"EIF2AK2",1.22396255884459e-38,0.660594359724567,0.438,0.292,7.67546920651444e-34,6,4,FALSE,"CD4_TCM","week44"
"ADAM23",2.1429626962471e-38,-1.15093289670862,0.081,0.148,1.34385190681656e-33,6,4,FALSE,"CD4_TCM","week44"
"PCBP2",4.36174982933441e-38,-0.263792971184094,0.665,0.66,2.73525331797561e-33,6,4,FALSE,"CD4_TCM","week44"
"SLC10A7",5.93256575680673e-38,0.736491208653695,0.336,0.2,3.7203119860935e-33,6,4,FALSE,"CD4_TCM","week44"
"TC2N",2.40579836077044e-37,0.310456948591948,0.893,0.811,1.50867615203914e-32,6,4,FALSE,"CD4_TCM","week44"
"LRFN2",3.26131838218717e-37,0.878631580475516,0.269,0.157,2.04517275746957e-32,6,4,FALSE,"CD4_TCM","week44"
"TCF7",3.44822787541135e-37,-0.224071218593618,0.961,0.97,2.16238370067046e-32,6,4,FALSE,"CD4_TCM","week44"
"APBA2",1.68474833670957e-36,-0.339173159462216,0.754,0.781,1.05650568195057e-31,6,4,FALSE,"CD4_TCM","week44"
"RPL36",5.49211635170343e-36,-0.679846959868304,0.232,0.284,3.44410616415322e-31,6,4,FALSE,"CD4_TCM","week44"
"RPS15A",1.0460477070269e-35,-0.541490510761266,0.278,0.322,6.55976517076572e-31,6,4,FALSE,"CD4_TCM","week44"
"HLA-C",1.8096413669055e-35,-0.262905589418804,0.791,0.793,1.13482610118644e-30,6,4,FALSE,"CD4_TCM","week44"
"PNRC1",2.46318297917019e-35,-0.372778390250357,0.461,0.486,1.54466204623763e-30,6,4,FALSE,"CD4_TCM","week44"
"UBC",2.50271116565273e-35,-0.573938868519711,0.257,0.285,1.56945017198083e-30,6,4,FALSE,"CD4_TCM","week44"
"PLCB1",2.69914188887514e-35,-0.733664977054663,0.176,0.243,1.6926318785136e-30,6,4,FALSE,"CD4_TCM","week44"
"RPL26",3.43999315577744e-35,-0.538550894486787,0.266,0.32,2.15721970798803e-30,6,4,FALSE,"CD4_TCM","week44"
"USP9Y",4.44805892738423e-35,0.322574627187744,0.494,0.361,2.78937775336265e-30,6,4,FALSE,"CD4_TCM","week44"
"MTERF4",1.19623597529809e-34,-0.343855228402532,0.512,0.568,7.50159580109435e-30,6,4,FALSE,"CD4_TCM","week44"
"PNPLA7",1.93858796493654e-34,0.890653522602859,0.168,0.082,1.21568851281171e-29,6,4,FALSE,"CD4_TCM","week44"
"RPL30",2.16101420249607e-34,-0.434767061502064,0.457,0.495,1.35517200638529e-29,6,4,FALSE,"CD4_TCM","week44"
"TMSB10",5.82504865456479e-34,-0.567155372587706,0.282,0.331,3.65288801127758e-29,6,4,FALSE,"CD4_TCM","week44"
"NEAT1",6.86857016105721e-34,-0.254792433546655,0.86,0.875,4.30728034799898e-29,6,4,FALSE,"CD4_TCM","week44"
"CDH4",7.91049461522378e-34,-0.850790057476339,0.049,0.105,4.96067117320683e-29,6,4,FALSE,"CD4_TCM","week44"
"KPNB1-DT",1.10989867924286e-33,-0.813145663694501,0.135,0.19,6.96017461753197e-29,6,4,FALSE,"CD4_TCM","week44"
"DDX5",1.171938086517e-33,0.217826420736078,0.944,0.905,7.34922374054808e-29,6,4,FALSE,"CD4_TCM","week44"
"APOLD1",1.42688311882983e-33,-0.345587078639935,0.528,0.565,8.94798403818186e-29,6,4,FALSE,"CD4_TCM","week44"
"GOLGA1",1.73580965757647e-33,-0.351949660194283,0.33,0.308,1.0885262362662e-28,6,4,FALSE,"CD4_TCM","week44"
"NAP1L1",2.34104132395792e-33,-0.277003553947972,0.696,0.695,1.46806701425401e-28,6,4,FALSE,"CD4_TCM","week44"
"RPL7",2.84697327844509e-33,-0.600035394693408,0.244,0.299,1.78533694291291e-28,6,4,FALSE,"CD4_TCM","week44"
"MRPS31",4.77865942696226e-33,0.682755578169966,0.391,0.262,2.99669732664803e-28,6,4,FALSE,"CD4_TCM","week44"
"BORA",4.94992573975468e-33,1.20512741684912,0.145,0.067,3.10409843140016e-28,6,4,FALSE,"CD4_TCM","week44"
"KDM5D",5.44260447758734e-33,0.545953447692538,0.245,0.141,3.41305726789502e-28,6,4,FALSE,"CD4_TCM","week44"
"PABPC1",5.62404427594058e-33,-0.156080507839249,0.958,0.962,3.52683816544234e-28,6,4,FALSE,"CD4_TCM","week44"
"TBCK",5.63972524827704e-33,0.496876521657016,0.525,0.372,3.53667170319453e-28,6,4,FALSE,"CD4_TCM","week44"
"NR6A1",7.54735922509792e-33,1.22440041953459,0.106,0.039,4.73294897005891e-28,6,4,FALSE,"CD4_TCM","week44"
"RPS12",2.19815026017133e-32,-0.517337731483746,0.309,0.354,1.37846002815344e-27,6,4,FALSE,"CD4_TCM","week44"
"IKZF3",3.47313278609044e-32,-0.306024330852939,0.689,0.706,2.17800157015732e-27,6,4,FALSE,"CD4_TCM","week44"
"NAALADL2",5.65132642034687e-32,-0.971384758934376,0.08,0.145,3.54394679819952e-27,6,4,FALSE,"CD4_TCM","week44"
"RPS14",6.17094251831815e-32,-0.447763923957059,0.376,0.41,3.86979805323731e-27,6,4,FALSE,"CD4_TCM","week44"
"RPL31",1.94827030008268e-31,-0.335441258223668,0.548,0.563,1.22176030518185e-26,6,4,FALSE,"CD4_TCM","week44"
"GBP4",2.25146380402899e-31,0.557236035551716,0.584,0.442,1.41189295150658e-26,6,4,FALSE,"CD4_TCM","week44"
"IRF9",3.14027103861644e-31,0.575613730444305,0.42,0.283,1.96926396831637e-26,6,4,FALSE,"CD4_TCM","week44"
"TRIM22",3.52149670015934e-31,0.472607768863465,0.629,0.494,2.20833058066992e-26,6,4,FALSE,"CD4_TCM","week44"
"PACS1",3.73484182020829e-31,-0.216568904915651,0.968,0.965,2.34211930545262e-26,6,4,FALSE,"CD4_TCM","week44"
"PLSCR1",4.92629273000658e-31,0.709673167891963,0.225,0.123,3.08927817098712e-26,6,4,FALSE,"CD4_TCM","week44"
"RPL24",6.25764445430359e-31,-0.589822762834022,0.221,0.259,3.92416883729378e-26,6,4,FALSE,"CD4_TCM","week44"
"L3MBTL3",3.16392376984191e-30,0.631895063727712,0.318,0.2,1.98409659606786e-25,6,4,FALSE,"CD4_TCM","week44"
"RPS16",3.72682898401142e-30,-0.452751191886048,0.333,0.365,2.33709445587356e-25,6,4,FALSE,"CD4_TCM","week44"
"RPS27",4.71384609486256e-30,-0.698709043281542,0.151,0.196,2.95605288608831e-25,6,4,FALSE,"CD4_TCM","week44"
"C19orf12",4.96482033188153e-30,-0.915027911407687,0.12,0.135,3.11343883012291e-25,6,4,FALSE,"CD4_TCM","week44"
"OAS2",6.51600590700344e-30,0.67565560381484,0.384,0.249,4.08618730428186e-25,6,4,FALSE,"CD4_TCM","week44"
"FYCO1",1.24778231700306e-29,0.570475497618446,0.407,0.274,7.82484290992617e-25,6,4,FALSE,"CD4_TCM","week44"
"IL7R",1.39286008647969e-29,-0.2557550199239,0.927,0.921,8.73462560231411e-25,6,4,FALSE,"CD4_TCM","week44"
"C9orf78",1.8701353047202e-29,-0.521146349201183,0.256,0.302,1.17276184959004e-24,6,4,FALSE,"CD4_TCM","week44"
"RPL27A",8.74831117798915e-29,-0.435280161969936,0.338,0.37,5.48606593971699e-24,6,4,FALSE,"CD4_TCM","week44"
"ENSG00000230773",2.42553162813429e-28,-1.23674445086067,0.105,0.141,1.52105088400301e-23,6,4,FALSE,"CD4_TCM","week44"
"RPL28",2.75120142322265e-28,-0.435247964060328,0.359,0.389,1.72527841250293e-23,6,4,FALSE,"CD4_TCM","week44"
"LINC00310",3.94892986290553e-28,-0.89374613719547,0.096,0.152,2.47637391702806e-23,6,4,FALSE,"CD4_TCM","week44"
"FAM117B",4.24592278818193e-28,-0.295222875014924,0.64,0.647,2.66261818046889e-23,6,4,FALSE,"CD4_TCM","week44"
"HERC5",4.54222947083114e-28,0.934445340282484,0.16,0.079,2.84843210115821e-23,6,4,FALSE,"CD4_TCM","week44"
